"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - other","Lifetime Talking About This (Post) by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - other","Lifetime Post Stories by action type - share","Lifetime Post Consumers","Lifetime Post Consumptions","Lifetime Post consumers by type - link clicks","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - photo view","Lifetime Post Consumptions by type - link clicks","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - photo view","Lifetime Negative feedback","Lifetime Negative Feedback from Users","Lifetime Negative feedback - hide_all_clicks","Lifetime Negative feedback - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Average time video viewed","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Video length","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views"
,,,,,,,,"Lifetime: The total number of people your Page post was served to. (Unique Users)","Lifetime: The number of people who saw your Page post in news feed or ticker, or on your Page's timeline. (Unique Users)","Lifetime: The number of people your advertised Page post was served to. (Unique Users)","Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Timeline. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of people who clicked anywhere in your posts. (Unique Users)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,,"Lifetime: The number of people who clicked anywhere in your post. (Unique Users)","Lifetime: The number of clicks anywhere in your post. (Total Count)","Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,"Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Average time video viewed (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Length of a video post (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)"
218401071574147_1040393972708182,https://www.facebook.com/nycaascpage/posts/1040393972708182:0,"One of our in-kind donors, Dos Toros Taqueria is having a special Free Chips and Guac aka The Dos Toros Study Break this Tuesday, May 3rd. Free chips &amp; guac with School ID. All day. All 10 locations. :) Come out and support! ^_^",Photo,,,"04/28/2016 04:30:40 PM"," ",806,806,0,2468,2468,0,14,1,7,,,1,7,,,12,21,,2,10,,3,18,0,0,,,,,2400,754,0,0,9,0,,,,,0,,,,
218401071574147_1039741869440059,https://www.facebook.com/nycaascpage/posts/1039741869440059,"[NYCAASC] New York City Asian American Student Conference shared AHM at NYU's photo.",Photo,,,"04/27/2016 12:43:31 PM"," ",90,90,0,156,156,0,4,,2,,,,2,,,2,2,,2,,,2,,0,0,,,,,105,42,0,0,4,0,0,0,0,0,0,0,0,0,0
218401071574147_1036763609737885,https://www.facebook.com/nycaascpage/posts/1036763609737885,"***LAST CALL TO REGISTER FOR The 10th Annual NYCAASC: Checkpoints!**
If you would like to attend the conference, you must register by TONIGHT at https://www.eventbrite.com/e/10th-annual-nycaasc-registration-22417219507.

With a slew of amazing workshops to choose from this year, as well as our superb performers and keynote speaker, Cathy Dang, #NYCAASC2016 is going to be an incredible experience. We can’t wait to see you all tomorrow!",Link,,,"04/22/2016 02:50:00 PM"," ",155,155,0,300,300,0,1,,,,,,,,,1,1,,1,,,1,,0,0,,,,,199,74,0,0,1,0,0,0,0,0,0,0,0,0,0
218401071574147_1036739226406990,https://www.facebook.com/nycaascpage/posts/1036739226406990,"Vast discussions about the role of the police have been buzzing through the news in recent months. But did you know that, as an individual in the United States, you have various rights and protections when it comes to interacting with law enforcement? At #NYCAASC2016, join Kevin Park in his essential workshop, &quot;Know Your Rights with the Justice Committee&quot;, and learn the invaluable info and skills you need to stay safe in police encounters.",Photo,,,"04/22/2016 12:44:30 PM"," ",392,392,0,711,711,0,40,,14,,,,14,,,30,55,,30,,,55,,1,1,,1,,1,398,158,0,0,37,0,0,0,0,0,0,0,0,0,0
218401071574147_1036167809797465,https://www.facebook.com/nycaascpage/posts/1036167809797465,"As America quickly approaches a critical point for the reproductive rights of millions of current and future mothers, Chi Nguyen invites you to learn about and participate in the process of raising awareness for the upcoming Supreme Court case, Whole Woman’s Health v. Hellerstedt, through the powerful and creative processes of “craftivism”.

#NYCAASC2016",Photo,,,"04/21/2016 02:46:51 PM"," ",177,177,0,336,336,0,3,,2,,,,2,,,2,3,,2,,,3,,0,0,,,,,228,91,0,0,3,0,0,0,0,0,0,0,0,0,0
218401071574147_1034972099917036,https://www.facebook.com/nycaascpage/posts/1034972099917036,"Do you like food? Of course. But what if it's not you who chooses your food, but your food that chooses you? Dean Itsuji Saranillio investigates this question and many more in this #NYCAASC2016 highlighted workshop, &quot;How has White Supremacy Shaped the Foods We Eat?&quot;",Photo,,,"04/19/2016 12:04:00 PM"," ",216,216,0,427,427,0,5,,5,,,,5,,,1,2,,1,,,2,,0,0,,,,,268,96,0,0,4,0,0,0,0,0,0,0,0,0,0
218401071574147_1034807449933501,https://www.facebook.com/nycaascpage/posts/1034807449933501,"Exciting news: the schedule for #NYCAASC2016 is out! Visit our lovely new website at nycaasc.com to view the schedule, as well as this year’s HYPE workshops. Time to start planning!",Link,,,"04/19/2016 06:26:27 AM"," ",555,555,0,1135,1135,0,48,,8,,1,,8,,1,44,58,21,28,,23,35,,0,0,,,,,500,175,0,0,37,0,0,0,0,0,0,0,0,0,0
218401071574147_1029522567128656,https://www.facebook.com/nycaascpage/posts/1029522567128656,"FINAL #NYCAASC2016 GIVEAWAY! We’ll be giving away seven (7) free 10th Anniversary Conference T-Shirts. This year’s conference theme, “Checkpoints”, is especially relevant, as we celebrate our tenth year of providing a space for dialogue and collaboration in A/P/A issues.

To be eligible for the giveaway, all you have to do is be registered on Eventbrite for the 10th Annual NYCAASC by this Wednesday, 4/20 at 11:59pm. That’s it! Registration is at nycaasc.com/registration

We will be announcing the winners of this giveaway at the conference. ***Please make sure you are attending on the day of, or you won’t be able to get a chance to win***. Thank you for participating in our giveaways, and we’re looking forward to seeing you on Saturday!

Front and back designs are pictured. Sizes vary depending on availability.",Link,,,"04/18/2016 02:00:00 PM"," ",176,176,0,335,335,0,3,,3,,,,3,,,1,1,,1,,,1,,0,0,,,,,212,82,0,0,3,0,0,0,0,0,0,0,0,0,0
218401071574147_1034390329975213,https://www.facebook.com/nycaascpage/posts/1034390329975213,"You've probably read about issues of race and gender in the news lately, but what does it all mean? This workshop will help you understand the role of racial, gender, and sexual identity in today's society from the standpoint of trans femme identity, and the violence that underlies this role.",Photo,,,"04/18/2016 12:17:52 PM"," ",206,206,0,392,392,0,8,,5,,,,5,,,3,4,,3,,,4,,0,0,,,,,244,93,0,0,7,0,0,0,0,0,0,0,0,0,0
218401071574147_1033255953421984,https://www.facebook.com/nycaascpage/posts/1033255953421984,"Love comics? Ever wanted to create your own? Come join manga editor Anne Ishii and letterer-illustrator Hannah K. Lee at their delightful all-day workshop, &quot;Drawing Ourselves in Mini-Comics and Zines&quot;, at #NYCAASC2016. Learn the techniques and strategies of designing mini-comics and zines with a narrative and artistic style that you can truly call &quot;your own&quot;!",Link,,,"04/16/2016 03:40:29 PM"," ",198,198,0,384,384,0,10,1,8,,,1,8,,,2,3,,2,,,3,,0,0,,,,,258,90,0,0,9,0,0,0,0,0,0,0,0,0,0
